url,md5,Data collection,Data type,Analysis group,Sample,Population,Data reuse policy
ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/HG01500/exome_alignment/HG01500.chrom20.ILLUMINA.bwa.IBS.exome.20130415.bam.bai,f6aec27e1489ef4450d3d023e5348720,1000 Genomes phase 3 release,alignment,Exome,HG01500,Iberian populations in Spain,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/HG01500/exome_alignment/HG01500.mapped.ILLUMINA.bwa.IBS.exome.20130415.bam.bai,28cde08189cb4e2c0845d6d457464d12,1000 Genomes phase 3 release,alignment,Exome,HG01500,Iberian populations in Spain,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/HG01501/exome_alignment/HG01501.chrom11.ILLUMINA.bwa.IBS.exome.20130415.bam,0de0c215ae0154dba3f399be406d5f02,1000 Genomes phase 3 release,alignment,Exome,HG01501,Iberian populations in Spain,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/HG01501/exome_alignment/HG01501.mapped.ILLUMINA.bwa.IBS.exome.20130415.bam.bai,84f83c0658e3a5ec1cc47982cd0d4a99,1000 Genomes phase 3 release,alignment,Exome,HG01501,Iberian populations in Spain,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/HG01503/exome_alignment/HG01503.chrom11.ILLUMINA.bwa.IBS.exome.20130415.bam,4c4023061f8cf2e9ea2de25a669f7cdb,1000 Genomes phase 3 release,alignment,Exome,HG01503,Iberian populations in Spain,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/HG01503/exome_alignment/HG01503.mapped.ILLUMINA.bwa.IBS.exome.20130415.bam.bai,e3b519b2f9c3259cb7c86a44858b0276,1000 Genomes phase 3 release,alignment,Exome,HG01503,Iberian populations in Spain,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/HG01504/exome_alignment/HG01504.mapped.ILLUMINA.bwa.IBS.exome.20130415.bam.bai,bf524bdca09d7727de0f8cffc765696a,1000 Genomes phase 3 release,alignment,Exome,HG01504,Iberian populations in Spain,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/HG01506/exome_alignment/HG01506.mapped.ILLUMINA.bwa.IBS.exome.20120522.bam.bai,742bcb3aa4e001f42e17772c18929665,1000 Genomes phase 3 release,alignment,Exome,HG01506,Iberian populations in Spain,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/HG01506/exome_alignment/HG01506.unmapped.ILLUMINA.bwa.IBS.exome.20120522.bam,814a7c9bb971f3b0c8c93fec436a0c29,1000 Genomes phase 3 release,alignment,Exome,HG01506,Iberian populations in Spain,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/HG01507/exome_alignment/HG01507.unmapped.ILLUMINA.bwa.IBS.exome.20120522.bam,27b30b0438c3a42705b5f9b782d097cb,1000 Genomes phase 3 release,alignment,Exome,HG01507,Iberian populations in Spain,http://www.1000genomes.org/about#g1k_data_reuse
